,Priority,Affected Facility,Identification Source,Diagnosis_Day_Diff,Significance
8585,C,ac,Project Management,19,high
8586,B,aa,Maintenance,44,low
8587,B,ab,Maintenance,33,low
8588,B,aa,Maintenance,45,low
8589,D,ad,Engineer,21,high
8590,A,ab,Maintenance,44,low
8591,A,ac,Project Management,28,low
8592,B,ad,Project Management,33,medium
8593,D,ad,Project Management,11,high
8594,B,ab,Engineer,25,medium
8595,B,aa,Project Management,48,low
8596,C,ae,Project Management,5,high
8597,D,ac,Project Management,5,high
8598,A,aa,Project Management,52,low
8599,B,ac,Project Management,31,low
8600,D,ac,Engineer,15,high
8601,C,ac,Engineer,35,medium
8602,C,ab,Engineer,34,medium
8603,B,ab,Maintenance,28,low
8604,B,ab,Maintenance,16,medium
8605,C,ad,Project Management,19,medium
8606,B,ab,Engineer,30,medium
8607,B,ab,Maintenance,33,low
8608,A,ab,Maintenance,34,low
8609,B,ab,Project Management,42,low
8610,B,ab,Maintenance,32,low
8611,D,ac,Project Management,10,high
8612,A,ab,Project Management,48,low
8613,B,aa,Maintenance,30,low
8614,A,ab,Project Management,40,low
8615,B,ad,Project Management,17,medium
8616,C,ac,Project Management,6,high
8617,A,ac,Project Management,32,low
8618,B,ac,Project Management,17,medium
8619,C,ad,Maintenance,19,medium
8620,A,ab,Project Management,41,low
8621,D,ae,Engineer,21,high
8622,A,aa,Maintenance,43,low
8623,B,ab,Maintenance,47,low
8624,A,ac,Project Management,43,low
8625,C,ab,Maintenance,26,medium
8626,D,ac,Engineer,19,high
8627,C,ac,Project Management,15,medium
8628,C,ae,Project Management,7,high
8629,B,ab,Maintenance,44,low
8630,C,ac,Project Management,18,medium
8631,D,ac,Engineer,10,high
8632,B,ab,Maintenance,32,low
8633,D,ae,Project Management,16,high
8634,C,ad,Engineer,3,high
8635,C,ae,Engineer,22,high
8636,D,ad,Engineer,5,high
8637,A,ab,Maintenance,46,low
8638,C,ab,Engineer,21,medium
8639,C,ad,Engineer,33,medium
8640,D,ae,Project Management,6,high
8641,D,ad,Engineer,7,high
8642,C,ae,Project Management,7,high
8643,A,aa,Maintenance,38,low
8644,B,ab,Project Management,40,low
8645,C,ab,Project Management,21,medium
8646,B,ac,Maintenance,41,low
8647,A,aa,Project Management,47,low
8648,D,ac,Project Management,11,high
8649,A,ab,Maintenance,43,low
8650,C,ad,Project Management,27,medium
8651,B,ac,Project Management,32,medium
8652,C,ad,Engineer,5,high
8653,C,ab,Project Management,22,medium
8654,C,ab,Maintenance,27,medium
8655,A,ab,Project Management,47,low
8656,D,ac,Project Management,16,high
8657,C,ac,Project Management,4,high
8658,D,ae,Project Management,13,high
8659,D,ad,Engineer,21,high
8660,D,ac,Project Management,21,high
8661,A,aa,Project Management,39,low
8662,D,ad,Project Management,18,high
8663,A,aa,Project Management,48,low
8664,C,ae,Engineer,14,high
8665,D,ae,Engineer,16,high
8666,B,ac,Project Management,16,medium
8667,A,ac,Maintenance,30,low
8668,D,ae,Project Management,22,high
8669,B,aa,Project Management,35,low
8670,D,ad,Engineer,21,high
8671,A,ab,Project Management,49,low
8672,B,ac,Project Management,51,low
8673,B,ab,Maintenance,29,medium
8674,D,ae,Engineer,7,high
8675,C,ac,Engineer,22,high
8676,C,ae,Engineer,17,high
8677,B,ac,Project Management,26,medium
8678,D,ad,Project Management,19,high
8679,C,ae,Project Management,11,high
8680,B,ad,Project Management,32,medium
8681,C,ab,Engineer,24,medium
8682,B,aa,Maintenance,31,low
8683,C,ae,Project Management,14,high
8684,B,ac,Project Management,34,medium
8685,B,ab,Project Management,30,medium
8686,C,ad,Project Management,13,high
8687,D,ad,Project Management,19,high
8688,C,ac,Engineer,12,high
8689,D,ad,Project Management,15,high
8690,B,ac,Maintenance,31,medium
8691,A,ac,Project Management,44,low
8692,C,ab,Project Management,26,medium
8693,D,ad,Engineer,13,high
8694,C,ab,Project Management,20,medium
8695,C,ad,Engineer,28,medium
8696,C,ab,Engineer,35,medium
8697,C,ad,Engineer,9,high
8698,B,ac,Maintenance,47,low
8699,B,aa,Maintenance,42,low
8700,A,aa,Maintenance,52,low
8701,B,aa,Maintenance,29,low
8702,B,ac,Maintenance,39,low
8703,B,ac,Project Management,35,medium
8704,D,ad,Project Management,10,high
8705,B,aa,Project Management,41,low
8706,D,ad,Project Management,10,high
8707,C,ac,Project Management,13,high
8708,D,ae,Engineer,9,high
8709,B,ad,Maintenance,23,medium
8710,C,ae,Project Management,3,high
8711,C,ad,Maintenance,20,medium
8712,B,ab,Maintenance,20,medium
8713,D,ae,Project Management,3,high
8714,A,aa,Maintenance,43,low
8715,B,ab,Maintenance,18,medium
8716,C,ac,Project Management,20,high
8717,D,ae,Project Management,10,high
8718,D,ad,Project Management,19,high
8719,C,ab,Maintenance,30,medium
8720,C,ab,Engineer,35,medium
8721,B,ac,Engineer,25,medium
8722,B,aa,Maintenance,45,low
8723,D,ac,Engineer,5,high
8724,A,aa,Project Management,49,low
8725,B,aa,Project Management,45,low
8726,A,ab,Maintenance,37,low
8727,C,ab,Engineer,34,medium
8728,C,ad,Engineer,17,medium
8729,C,ab,Project Management,18,medium
8730,C,ab,Project Management,18,medium
8731,B,ab,Project Management,28,low
8732,A,aa,Maintenance,39,low
8733,B,ac,Project Management,46,low
8734,B,ac,Project Management,32,low
8735,D,ac,Engineer,6,high
8736,B,ab,Maintenance,32,low
8737,C,ad,Project Management,9,high
8738,C,ab,Project Management,31,medium
8739,C,ac,Project Management,3,high
8740,A,ab,Project Management,28,low
8741,B,ab,Engineer,25,medium
8742,B,ad,Maintenance,26,medium
8743,D,ac,Engineer,3,high
8744,D,ac,Engineer,19,high
8745,C,ab,Engineer,27,medium
8746,C,ad,Engineer,7,high
8747,C,ad,Project Management,10,high
8748,C,ae,Project Management,16,high
8749,B,ab,Maintenance,51,low
8750,B,ab,Project Management,29,medium
8751,C,ab,Maintenance,30,medium
8752,C,ac,Project Management,25,medium
8753,A,ab,Maintenance,51,low
8754,A,aa,Maintenance,34,low
8755,C,ae,Project Management,22,high
8756,C,ae,Engineer,20,high
8757,B,ad,Maintenance,25,medium
8758,D,ae,Engineer,9,high
8759,B,ac,Maintenance,27,medium
8760,B,ac,Maintenance,47,low
8761,A,ac,Maintenance,51,low
8762,B,aa,Maintenance,46,low
8763,B,aa,Maintenance,29,low
8764,B,ab,Maintenance,30,low
8765,B,ac,Project Management,31,low
8766,C,ad,Maintenance,27,medium
8767,B,ac,Maintenance,51,low
8768,B,ac,Maintenance,48,low
8769,D,ad,Engineer,6,high
8770,A,aa,Maintenance,32,low
8771,B,aa,Project Management,48,low
8772,B,ad,Engineer,21,medium
8773,D,ad,Project Management,19,high
8774,B,ac,Project Management,28,medium
8775,A,ab,Project Management,39,low
8776,A,ac,Project Management,33,low
8777,C,ae,Project Management,14,high
8778,C,ac,Engineer,14,high
8779,B,ac,Maintenance,34,low
8780,D,ad,Project Management,9,high
8781,D,ae,Engineer,15,high
8782,B,ac,Project Management,28,low
8783,C,ad,Project Management,14,high
8784,C,ad,Project Management,14,high
8785,B,ad,Maintenance,16,medium
8786,C,ac,Engineer,6,high
8787,A,ac,Maintenance,30,low
8788,B,ac,Maintenance,48,low
8789,C,ac,Project Management,19,medium
8790,D,ae,Project Management,13,high
8791,C,ab,Project Management,34,medium
8792,C,ac,Engineer,21,medium
8793,B,ab,Maintenance,50,low
8794,C,ac,Project Management,18,medium
8795,A,ab,Maintenance,37,low
8796,D,ad,Engineer,15,high
8797,A,ac,Maintenance,46,low
8798,D,ac,Project Management,9,high
8799,D,ac,Project Management,7,high
8800,A,ac,Project Management,35,low
8801,C,ad,Engineer,17,high
8802,B,ac,Maintenance,38,low
8803,B,ad,Project Management,27,medium
8804,B,ab,Maintenance,41,low
8805,B,ad,Maintenance,29,medium
8806,C,ac,Engineer,26,medium
8807,B,aa,Maintenance,28,low
8808,A,ac,Maintenance,47,low
8809,A,aa,Maintenance,42,low
8810,C,ab,Engineer,26,medium
8811,A,aa,Project Management,44,low
8812,B,ac,Project Management,29,low
8813,B,ac,Project Management,40,low
8814,C,ab,Maintenance,22,medium
8815,B,ab,Project Management,50,low
8816,C,ad,Project Management,22,high
8817,D,ac,Engineer,4,high
8818,C,ac,Engineer,3,high
8819,D,ad,Project Management,3,high
8820,C,ac,Engineer,17,high
8821,A,ac,Project Management,39,low
8822,B,aa,Project Management,36,low
8823,C,ad,Engineer,12,high
8824,D,ac,Project Management,21,high
8825,C,ae,Engineer,6,high
8826,C,ad,Project Management,22,high
8827,D,ac,Engineer,13,high
8828,B,aa,Project Management,39,low
8829,A,ac,Project Management,35,low
8830,B,ac,Project Management,47,low
8831,C,ad,Engineer,15,high
8832,A,aa,Project Management,34,low
8833,B,aa,Project Management,39,low
8834,C,ac,Engineer,32,medium
8835,C,ac,Maintenance,35,medium
8836,D,ae,Project Management,22,high
8837,C,ac,Project Management,11,high
8838,C,ab,Project Management,17,medium
8839,D,ae,Project Management,14,high
8840,D,ad,Project Management,7,high
8841,C,ac,Maintenance,22,medium
8842,B,ac,Project Management,24,medium
8843,B,aa,Project Management,50,low
8844,B,aa,Maintenance,39,low
8845,B,ab,Engineer,24,medium
8846,B,ac,Maintenance,22,medium
8847,B,ad,Maintenance,31,medium
8848,B,ab,Project Management,52,low
8849,D,ad,Engineer,10,high
8850,B,ac,Maintenance,36,low
8851,C,ac,Project Management,30,medium
8852,C,ac,Engineer,16,high
8853,B,ad,Project Management,24,medium
8854,D,ad,Engineer,12,high
8855,B,aa,Project Management,49,low
8856,D,ac,Engineer,18,high
8857,C,ad,Engineer,17,medium
8858,B,ac,Maintenance,39,low
8859,C,ad,Engineer,14,high
8860,B,ac,Project Management,48,low
8861,B,ac,Project Management,37,low
8862,B,ac,Maintenance,18,medium
8863,C,ad,Project Management,17,high
8864,C,ac,Engineer,23,medium
8865,D,ae,Project Management,5,high
8866,B,ab,Project Management,42,low
8867,D,ae,Engineer,4,high
8868,B,ac,Engineer,28,medium
8869,A,ac,Project Management,33,low
8870,C,ac,Maintenance,33,medium
8871,D,ae,Engineer,11,high
8872,C,ae,Engineer,13,high
8873,B,ab,Engineer,17,medium
8874,C,ac,Engineer,23,medium
8875,B,aa,Maintenance,49,low
8876,B,ac,Maintenance,48,low
8877,D,ae,Project Management,18,high
8878,A,ab,Maintenance,41,low
8879,C,ac,Maintenance,15,medium
8880,C,ab,Project Management,22,medium
8881,D,ac,Engineer,12,high
8882,B,ab,Maintenance,44,low
8883,C,ad,Project Management,26,medium
8884,B,ab,Maintenance,31,medium
8885,B,ad,Maintenance,22,medium
8886,A,ac,Project Management,36,low
8887,B,ab,Project Management,50,low
8888,D,ad,Engineer,12,high
8889,C,ab,Engineer,15,medium
8890,C,ad,Project Management,21,high
8891,C,ad,Maintenance,25,medium
8892,C,ab,Engineer,34,medium
8893,D,ac,Project Management,9,high
8894,A,ac,Project Management,39,low
8895,B,ac,Engineer,19,medium
8896,C,ae,Project Management,7,high
8897,B,ad,Project Management,26,medium
8898,C,ad,Project Management,16,medium
8899,A,ac,Maintenance,29,low
8900,D,ad,Engineer,12,high
8901,C,ae,Project Management,13,high
8902,A,ab,Maintenance,38,low
8903,B,ac,Maintenance,40,low
8904,B,ad,Project Management,22,medium
8905,B,ac,Maintenance,47,low
8906,D,ae,Project Management,16,high
8907,A,ab,Maintenance,50,low
8908,B,ab,Maintenance,19,medium
8909,B,ad,Maintenance,19,medium
8910,B,ac,Maintenance,47,low
8911,B,ab,Engineer,25,medium
8912,D,ad,Project Management,14,high
8913,C,ac,Maintenance,16,medium
8914,B,ac,Project Management,30,low
8915,B,ab,Maintenance,18,medium
8916,A,aa,Maintenance,29,low
8917,B,aa,Maintenance,47,low
8918,D,ae,Project Management,8,high
8919,B,ac,Project Management,18,medium
8920,A,aa,Maintenance,29,low
8921,C,ac,Engineer,35,medium
8922,B,ac,Project Management,36,low
8923,B,ac,Maintenance,20,medium
8924,C,ad,Project Management,20,high
8925,D,ad,Project Management,15,high
8926,A,aa,Project Management,40,low
8927,D,ac,Engineer,12,high
8928,B,ab,Project Management,21,medium
8929,C,ae,Project Management,9,high
8930,C,ad,Engineer,14,high
8931,C,ac,Maintenance,27,medium
8932,B,ab,Engineer,31,medium
8933,D,ad,Project Management,15,high
8934,C,ad,Engineer,7,high
8935,D,ad,Engineer,16,high
8936,D,ac,Project Management,3,high
8937,B,ac,Maintenance,44,low
8938,D,ac,Project Management,11,high
8939,C,ad,Project Management,11,high
8940,B,ab,Maintenance,27,medium
8941,D,ae,Project Management,5,high
8942,A,aa,Maintenance,29,low
8943,B,ac,Engineer,21,medium
8944,C,ac,Project Management,22,medium
8945,B,ad,Engineer,17,medium
8946,C,ad,Maintenance,29,medium
8947,C,ae,Engineer,7,high
8948,A,aa,Maintenance,51,low
8949,B,ab,Project Management,40,low
8950,B,ad,Engineer,21,medium
8951,B,aa,Project Management,50,low
8952,D,ad,Project Management,22,high
8953,D,ac,Project Management,18,high
8954,D,ad,Project Management,15,high
8955,D,ac,Engineer,17,high
8956,D,ac,Engineer,22,high
8957,D,ae,Engineer,9,high
8958,C,ad,Project Management,6,high
8959,B,ac,Maintenance,24,medium
8960,B,ab,Project Management,46,low
8961,A,ac,Maintenance,34,low
8962,B,ad,Project Management,32,medium
8963,A,ac,Maintenance,29,low
8964,B,ab,Engineer,32,medium
8965,C,ab,Engineer,34,medium
8966,B,ad,Engineer,22,medium
8967,B,ab,Project Management,38,low
8968,B,ac,Maintenance,40,low
8969,C,ab,Engineer,33,medium
8970,A,ac,Project Management,40,low
8971,B,ab,Project Management,16,medium
8972,C,ae,Engineer,4,high
8973,D,ac,Project Management,16,high
8974,B,aa,Project Management,46,low
8975,B,ab,Project Management,32,low
8976,D,ac,Engineer,14,high
8977,B,ab,Maintenance,22,medium
8978,B,aa,Project Management,31,low
8979,A,ab,Maintenance,50,low
8980,A,ac,Project Management,40,low
8981,B,ad,Project Management,30,medium
8982,C,ad,Project Management,32,medium
8983,C,ad,Maintenance,27,medium
8984,D,ac,Engineer,16,high
8985,C,ad,Project Management,29,medium
8986,B,aa,Project Management,52,low
8987,D,ac,Project Management,22,high
8988,A,ab,Project Management,29,low
8989,C,ac,Engineer,4,high
8990,C,ad,Project Management,17,high
8991,A,aa,Maintenance,28,low
8992,C,ac,Project Management,20,medium
8993,D,ad,Project Management,19,high
8994,B,ab,Project Management,51,low
8995,A,ab,Project Management,34,low
8996,B,ab,Project Management,34,low
8997,B,ab,Project Management,43,low
8998,C,ad,Engineer,22,medium
8999,A,ab,Project Management,35,low
9000,B,ad,Project Management,31,medium
9001,B,ab,Maintenance,43,low
9002,B,ac,Maintenance,44,low
9003,B,ab,Project Management,44,low
9004,B,ac,Maintenance,17,medium
9005,C,ad,Engineer,32,medium
9006,A,aa,Project Management,43,low
9007,A,ab,Project Management,35,low
9008,A,aa,Maintenance,38,low
9009,A,ab,Maintenance,38,low
9010,B,ac,Maintenance,50,low
9011,D,ac,Engineer,11,high
9012,B,ad,Engineer,29,medium
9013,D,ae,Engineer,14,high
9014,D,ae,Project Management,20,high
9015,D,ad,Project Management,13,high
9016,C,ab,Project Management,27,medium
9017,A,ac,Maintenance,33,low
9018,C,ae,Engineer,11,high
9019,D,ae,Project Management,20,high
9020,A,aa,Project Management,35,low
9021,A,ab,Maintenance,45,low
9022,A,ab,Project Management,39,low
9023,D,ac,Project Management,7,high
9024,C,ae,Project Management,5,high
9025,C,ab,Project Management,26,medium
9026,B,ab,Project Management,45,low
9027,C,ad,Project Management,3,high
9028,C,ab,Project Management,26,medium
9029,B,ab,Engineer,31,medium
9030,C,ad,Maintenance,33,medium
9031,A,ac,Maintenance,45,low
9032,C,ac,Engineer,27,medium
9033,D,ac,Project Management,11,high
9034,C,ac,Maintenance,24,medium
9035,A,aa,Project Management,48,low
9036,D,ac,Engineer,19,high
9037,C,ab,Project Management,35,medium
9038,A,ac,Maintenance,30,low
9039,B,ac,Project Management,25,medium
9040,A,ab,Maintenance,36,low
9041,C,ae,Project Management,20,high
9042,C,ad,Project Management,32,medium
9043,C,ac,Project Management,26,medium
9044,B,ab,Engineer,35,medium
9045,A,aa,Project Management,29,low
9046,D,ac,Engineer,10,high
9047,B,ac,Project Management,19,medium
9048,D,ae,Engineer,9,high
9049,C,ad,Project Management,8,high
9050,C,ad,Project Management,13,high
9051,C,ae,Project Management,17,high
9052,A,ab,Maintenance,38,low
9053,B,ac,Maintenance,37,low
9054,C,ae,Project Management,11,high
9055,B,ac,Maintenance,17,medium
9056,B,ad,Engineer,25,medium
9057,B,ab,Project Management,45,low
9058,D,ac,Project Management,3,high
9059,B,aa,Maintenance,48,low
9060,B,ab,Project Management,39,low
9061,D,ad,Engineer,18,high
9062,C,ac,Engineer,14,high
9063,A,ac,Project Management,35,low
9064,C,ae,Engineer,4,high
9065,D,ac,Engineer,15,high
9066,B,ad,Project Management,25,medium
9067,B,ac,Maintenance,29,low
9068,B,ac,Maintenance,31,medium
9069,B,ac,Maintenance,48,low
9070,C,ac,Engineer,15,high
9071,D,ad,Engineer,4,high
9072,D,ae,Project Management,11,high
9073,C,ac,Engineer,22,medium
9074,C,ad,Project Management,24,medium
9075,B,ab,Engineer,20,medium
9076,C,ac,Maintenance,27,medium
9077,D,ad,Engineer,16,high
9078,A,aa,Project Management,33,low
9079,B,ad,Engineer,21,medium
9080,C,ab,Maintenance,20,medium
9081,B,aa,Maintenance,43,low
9082,B,ad,Engineer,30,medium
9083,C,ae,Engineer,20,high
9084,D,ae,Engineer,19,high
9085,B,aa,Maintenance,35,low
9086,B,ac,Project Management,30,medium
9087,C,ad,Project Management,34,medium
9088,A,aa,Project Management,49,low
9089,A,ab,Maintenance,34,low
9090,D,ae,Engineer,18,high
9091,C,ac,Project Management,12,high
9092,C,ac,Maintenance,28,medium
9093,B,ab,Maintenance,37,low
9094,A,ab,Maintenance,43,low
9095,C,ad,Engineer,3,high
9096,A,ac,Maintenance,39,low
9097,C,ad,Engineer,5,high
9098,C,ae,Project Management,9,high
9099,C,ad,Maintenance,18,medium
9100,C,ae,Engineer,20,high
9101,B,ab,Maintenance,50,low
9102,B,aa,Project Management,36,low
9103,D,ad,Engineer,6,high
9104,C,ae,Project Management,11,high
9105,B,ad,Engineer,30,medium
9106,C,ae,Project Management,17,high
9107,A,ac,Maintenance,32,low
9108,B,ac,Engineer,19,medium
9109,B,ab,Engineer,30,medium
9110,C,ab,Engineer,22,medium
9111,B,aa,Maintenance,51,low
9112,B,aa,Project Management,36,low
9113,C,ab,Engineer,29,medium
9114,C,ac,Project Management,31,medium
9115,D,ac,Project Management,20,high
9116,B,ac,Maintenance,34,low
9117,C,ad,Project Management,8,high
9118,B,ab,Engineer,16,medium
9119,D,ae,Project Management,15,high
9120,B,ab,Engineer,35,medium
9121,B,ab,Project Management,44,low
9122,A,ac,Project Management,46,low
9123,C,ab,Project Management,19,medium
9124,C,ad,Engineer,9,high
9125,B,ac,Project Management,29,medium
9126,C,ad,Engineer,21,medium
9127,C,ae,Project Management,9,high
9128,C,ad,Engineer,22,high
9129,B,ab,Project Management,51,low
9130,C,ac,Maintenance,33,medium
9131,D,ad,Engineer,17,high
9132,C,ab,Engineer,32,medium
9133,A,ac,Project Management,32,low
9134,D,ac,Project Management,11,high
9135,A,ac,Project Management,41,low
9136,D,ac,Project Management,7,high
9137,B,ac,Maintenance,31,low
9138,D,ac,Project Management,10,high
9139,D,ac,Engineer,18,high
9140,C,ab,Project Management,33,medium
9141,D,ad,Engineer,21,high
9142,D,ac,Project Management,16,high
9143,D,ac,Project Management,15,high
9144,B,ab,Project Management,29,low
9145,C,ad,Project Management,22,medium
9146,A,ac,Project Management,40,low
9147,B,ac,Maintenance,49,low
9148,C,ad,Engineer,14,high
9149,A,aa,Project Management,51,low
9150,B,ab,Engineer,23,medium
9151,C,ac,Engineer,15,medium
9152,C,ad,Maintenance,18,medium
9153,B,ad,Engineer,16,medium
9154,B,ad,Project Management,35,medium
9155,D,ae,Engineer,5,high
9156,B,ab,Project Management,28,medium
9157,A,ab,Maintenance,29,low
9158,B,ac,Maintenance,43,low
9159,C,ad,Maintenance,29,medium
9160,C,ad,Engineer,15,high
9161,D,ad,Project Management,14,high
9162,B,ab,Project Management,49,low
9163,B,aa,Maintenance,42,low
9164,D,ad,Engineer,3,high
9165,C,ae,Engineer,21,high
9166,D,ad,Engineer,16,high
9167,B,ab,Project Management,29,medium
9168,A,ac,Maintenance,28,low
9169,A,aa,Maintenance,32,low
9170,C,ac,Engineer,23,medium
9171,B,ac,Project Management,45,low
9172,D,ad,Engineer,17,high
9173,A,ac,Maintenance,31,low
9174,B,ac,Maintenance,28,low
9175,D,ae,Project Management,9,high
9176,D,ac,Engineer,15,high
9177,C,ac,Engineer,3,high
9178,C,ae,Project Management,16,high
9179,B,aa,Project Management,41,low
9180,B,ab,Maintenance,52,low
9181,C,ad,Engineer,16,medium
9182,B,ab,Project Management,29,medium
9183,B,aa,Project Management,37,low
9184,B,ac,Maintenance,39,low
9185,A,aa,Maintenance,33,low
9186,C,ab,Maintenance,22,medium
9187,C,ab,Project Management,28,medium
9188,B,aa,Project Management,52,low
9189,A,aa,Maintenance,49,low
9190,B,ac,Maintenance,21,medium
9191,B,ab,Project Management,16,medium
9192,D,ae,Engineer,15,high
9193,A,ac,Project Management,37,low
9194,B,ac,Project Management,29,low
9195,C,ad,Project Management,29,medium
9196,C,ac,Maintenance,27,medium
9197,B,ab,Maintenance,29,medium
9198,C,ab,Maintenance,23,medium
9199,A,ab,Maintenance,29,low
9200,B,ac,Project Management,35,low
9201,B,ac,Maintenance,15,medium
9202,A,aa,Project Management,39,low
9203,B,ac,Project Management,50,low
9204,D,ac,Project Management,15,high
9205,C,ad,Maintenance,16,medium
9206,C,ac,Maintenance,31,medium
9207,D,ac,Project Management,11,high
9208,B,ac,Project Management,44,low
9209,D,ac,Engineer,11,high
9210,C,ae,Project Management,8,high
9211,B,ac,Maintenance,17,medium
9212,C,ae,Project Management,6,high
9213,A,ab,Maintenance,28,low
9214,B,ac,Project Management,46,low
9215,A,ac,Project Management,44,low
9216,D,ae,Engineer,21,high
9217,C,ad,Project Management,6,high
9218,C,ac,Project Management,5,high
9219,B,ac,Maintenance,15,medium
9220,D,ae,Engineer,19,high
9221,A,ac,Maintenance,30,low
9222,D,ad,Engineer,8,high
9223,C,ac,Engineer,30,medium
9224,C,ac,Engineer,20,medium
9225,A,ac,Project Management,36,low
9226,C,ad,Maintenance,35,medium
9227,C,ac,Project Management,21,medium
9228,A,aa,Project Management,31,low
9229,C,ae,Engineer,18,high
9230,B,ac,Maintenance,19,medium
9231,C,ac,Project Management,9,high
9232,C,ae,Project Management,8,high
9233,B,ad,Project Management,24,medium
9234,D,ad,Engineer,15,high
9235,B,ab,Project Management,39,low
9236,B,ad,Project Management,16,medium
9237,D,ae,Project Management,19,high
9238,B,ad,Project Management,16,medium
9239,A,ab,Maintenance,51,low
9240,C,ae,Engineer,20,high
9241,A,aa,Maintenance,30,low
9242,B,ac,Project Management,26,medium
9243,C,ac,Engineer,9,high
9244,C,ab,Project Management,19,medium
9245,D,ad,Project Management,17,high
9246,B,ac,Project Management,42,low
9247,B,ac,Maintenance,28,low
9248,B,ac,Maintenance,32,medium
9249,B,ac,Maintenance,36,low
9250,C,ab,Engineer,26,medium
9251,B,ad,Project Management,24,medium
9252,C,ac,Project Management,34,medium
9253,C,ac,Engineer,4,high
9254,B,ac,Project Management,30,low
9255,A,ac,Project Management,44,low
9256,B,aa,Maintenance,45,low
9257,B,ac,Project Management,36,low
9258,C,ad,Project Management,11,high
9259,B,aa,Maintenance,35,low
9260,C,ae,Project Management,7,high
9261,D,ac,Engineer,7,high
9262,C,ae,Engineer,17,high
9263,D,ac,Project Management,18,high
9264,C,ad,Maintenance,35,medium
9265,C,ad,Project Management,20,high
9266,A,ac,Project Management,29,low
9267,B,ab,Project Management,28,low
9268,B,ac,Maintenance,41,low
9269,C,ac,Project Management,22,medium
9270,B,ac,Project Management,19,medium
9271,C,ab,Project Management,29,medium
9272,A,aa,Project Management,40,low
9273,A,ac,Project Management,52,low
9274,C,ad,Engineer,15,medium
9275,B,ab,Project Management,33,low
9276,B,aa,Project Management,52,low
9277,C,ac,Engineer,27,medium
9278,D,ad,Engineer,5,high
9279,C,ae,Project Management,18,high
9280,B,ac,Project Management,35,medium
9281,C,ac,Project Management,21,medium
9282,B,ac,Maintenance,21,medium
9283,C,ac,Project Management,13,high
9284,C,ac,Engineer,14,high
9285,A,ab,Project Management,33,low
9286,D,ad,Engineer,21,high
9287,C,ae,Engineer,14,high
9288,C,ae,Engineer,14,high
9289,C,ac,Maintenance,30,medium
9290,B,ac,Project Management,29,medium
9291,C,ac,Engineer,19,medium
9292,A,ac,Project Management,33,low
9293,D,ae,Engineer,8,high
9294,D,ae,Project Management,20,high
9295,A,aa,Maintenance,33,low
9296,B,ad,Engineer,16,medium
9297,D,ac,Engineer,9,high
9298,D,ad,Engineer,22,high
9299,C,ad,Project Management,9,high
9300,C,ab,Project Management,35,medium
9301,A,aa,Project Management,48,low
9302,C,ab,Engineer,20,medium
9303,C,ac,Maintenance,25,medium
9304,B,ad,Engineer,28,medium
9305,B,ad,Engineer,32,medium
9306,B,ad,Maintenance,23,medium
9307,C,ad,Engineer,10,high
9308,C,ac,Engineer,33,medium
9309,B,ab,Project Management,22,medium
9310,C,ac,Engineer,34,medium
9311,C,ad,Maintenance,31,medium
9312,D,ac,Project Management,19,high
9313,C,ad,Engineer,11,high
9314,C,ad,Project Management,16,high
9315,B,ab,Engineer,18,medium
9316,C,ab,Project Management,27,medium
9317,C,ac,Engineer,22,high
9318,C,ac,Engineer,17,medium
9319,B,aa,Project Management,32,low
9320,B,ac,Project Management,15,medium
9321,B,ad,Engineer,27,medium
9322,C,ad,Project Management,7,high
9323,D,ac,Engineer,10,high
9324,C,ae,Engineer,11,high
9325,B,aa,Maintenance,52,low
9326,B,ad,Project Management,33,medium
9327,D,ad,Engineer,7,high
9328,C,ac,Engineer,22,medium
9329,B,ab,Maintenance,28,medium
9330,B,aa,Project Management,36,low
9331,C,ab,Project Management,33,medium
9332,B,ac,Project Management,26,medium
9333,B,ac,Project Management,26,medium
9334,B,ad,Project Management,35,medium
9335,A,ab,Project Management,35,low
9336,B,ac,Project Management,45,low
9337,D,ad,Project Management,21,high
9338,C,ac,Project Management,22,high
9339,B,aa,Maintenance,41,low
9340,C,ac,Maintenance,19,medium
9341,C,ab,Engineer,18,medium
9342,C,ac,Project Management,7,high
9343,B,ab,Project Management,33,medium
9344,C,ad,Maintenance,19,medium
9345,C,ae,Engineer,7,high
9346,A,aa,Project Management,33,low
9347,B,ad,Engineer,32,medium
9348,C,ab,Project Management,27,medium
9349,B,ab,Project Management,38,low
9350,A,aa,Maintenance,44,low
9351,C,ad,Engineer,18,medium
9352,D,ac,Engineer,17,high
9353,A,aa,Project Management,35,low
9354,C,ad,Project Management,19,medium
9355,B,ac,Project Management,29,low
9356,B,ab,Maintenance,30,medium
9357,C,ad,Maintenance,28,medium
9358,B,ad,Project Management,33,medium
9359,B,aa,Maintenance,48,low
9360,B,ac,Maintenance,34,low
9361,A,ac,Project Management,37,low
9362,B,aa,Project Management,42,low
9363,A,aa,Maintenance,44,low
9364,B,aa,Maintenance,41,low
9365,C,ac,Project Management,15,medium
9366,D,ac,Project Management,18,high
9367,D,ae,Project Management,14,high
9368,A,ab,Maintenance,29,low
9369,D,ac,Engineer,16,high
9370,B,aa,Maintenance,30,low
9371,A,aa,Project Management,28,low
9372,B,aa,Project Management,28,low
9373,A,ac,Maintenance,47,low
9374,B,ac,Project Management,43,low
9375,D,ad,Engineer,16,high
9376,B,ac,Maintenance,45,low
9377,C,ae,Project Management,4,high
